ID;NOME;SOBRENOME;EMAIL;STATUS;DATA_PROCESSAMENTO
1;Maria Julia;Siqueira;maria.julia.siqueira@bol.com.br;ATIVO;13/06/2022
2;Eloah;Monteira;eloah.monteira@bol.com.br;ATIVO;13/06/2022
3;Bernardo;Monteira;bernardo.monteira@yahoo.com;ATIVO;13/06/2022
4;Heloisa;Caldas;heloisa.caldas@gmail.com;ATIVO;13/06/2022
5;Daniel;Velasques;daniel.velasques@live.com;ATIVO;13/06/2022
6;Marcos;Saraiva;marcos.saraiva@yahoo.com;ATIVO;13/06/2022
7;Juliana;Goncalves;juliana.goncalves@bol.com.br;ATIVO;13/06/2022
8;Mathias;Macedo;mathias.macedo@hotmail.com;ATIVO;13/06/2022
9;Enzo Miguel;Ribeiro;enzo.miguel.ribeiro@hotmail.com;ATIVO;13/06/2022
10;Enzo;Carneiro;enzo.carneiro@yahoo.com;ATIVO;13/06/2022
11;Pedro;Gentil;pedro.gentil@yahoo.com;ATIVO;13/06/2022
12;Helio;Pedroso;helio.pedroso@gmail.com;ATIVO;13/06/2022
13;Ladislau;Morais;ladislau.morais@bol.com.br;ATIVO;13/06/2022
14;Ana Luiza;da Conceicao;ana.luiza.da.conceicao@gmail.com;ATIVO;13/06/2022
15;Isabella;Louzada;isabella.louzada@yahoo.com;ATIVO;13/06/2022
16;Silas;Pimenta;silas.pimenta@yahoo.com;ATIVO;13/06/2022
17;Agatha;Batista;agatha.batista@hotmail.com;ATIVO;13/06/2022
18;Ana Laura;Fontes;ana.laura.fontes@live.com;ATIVO;13/06/2022
19;Arthur Gabriel;Teixeira;arthur.gabriel.teixeira@hotmail.com;ATIVO;13/06/2022
20;Vinicius;Goulart;vinicius.goulart@yahoo.com;ATIVO;13/06/2022
21;Dalila;Vasques;dalila.vasques@gmail.com;ATIVO;13/06/2022
22;Vinicius;Brites;vinicius.brites@bol.com.br;ATIVO;13/06/2022
23;Vitor;Jesus;vitor.jesus@live.com;ATIVO;13/06/2022
24;Nicolas;Monteiro;nicolas.monteiro@yahoo.com;ATIVO;13/06/2022
25;Beatriz;Goulart;beatriz.goulart@live.com;ATIVO;13/06/2022
26;Paulo;Caldas;paulo.caldas@live.com;ATIVO;13/06/2022
27;Nubia;Moura;nubia.moura@live.com;ATIVO;13/06/2022
28;Ladislau;Veloso;ladislau.veloso@live.com;ATIVO;13/06/2022
29;Gael;Rameira;gael.rameira@gmail.com;ATIVO;13/06/2022
30;Elisio;Soares;elisio.soares@gmail.com;ATIVO;13/06/2022
31;Marcio;Meira;marcio.meira@gmail.com;ATIVO;13/06/2022
32;Sarah;Cardoso;sarah.cardoso@yahoo.com;ATIVO;13/06/2022
33;Davi Luiz;Geraldes;davi.luiz.geraldes@live.com;ATIVO;13/06/2022
34;Perola;da Rosa;perola.da.rosa@bol.com.br;ATIVO;13/06/2022
35;Salvador;da Terra;salvador.da.terra@yahoo.com;ATIVO;13/06/2022
36;Alessandro;Teles;alessandro.teles@live.com;ATIVO;13/06/2022
37;Davi Luca;de Assuncao;davi.luca.de.assuncao@bol.com.br;ATIVO;13/06/2022
38;Bianca;Barata;bianca.barata@yahoo.com;ATIVO;13/06/2022
39;Igor;das Neves;igor.das.neves@bol.com.br;ATIVO;13/06/2022
40;Frederico;da Barranca;frederico.da.barranca@bol.com.br;ATIVO;13/06/2022
41;Gubio;Novaes;gubio.novaes@hotmail.com;ATIVO;13/06/2022
42;Patricia;Marques;patricia.marques@yahoo.com;ATIVO;13/06/2022
43;Arthur Miguel;da Rocha;arthur.miguel.da.rocha@gmail.com;ATIVO;13/06/2022
44;Carla;Soeira;carla.soeira@hotmail.com;ATIVO;13/06/2022
45;Pietro;Ambrosio;pietro.ambrosio@yahoo.com;ATIVO;13/06/2022
46;Maria Julia;Brites;maria.julia.brites@yahoo.com;ATIVO;13/06/2022
47;Antonio;Carneiro;antonio.carneiro@hotmail.com;ATIVO;13/06/2022
